ID,user_ID,workDate,entryType_code,project_ID,activity_code,workLocation_code,travelType_code,startTime,endTime,breakMin,durationHoursGross,durationHoursNet,overtimeHours,undertimeHours,expectedDailyHoursDec,source,note
"4b58e370-d72b-4029-9e8c-f052528e515e","erika.musterfrau@test.de","2025-09-01","W","a1b2c3d4-e5f6-4a4a-b7b7-1234567890ab","ANAL","S","PK","08:00:00","18:00:00",60,10.00,9.00,0.00,0.00,9.00,"WEB","Montag: Voller Tag Analyse. (Soll 9,00h; Gesamt 9,00h Netto; 0,00h)"
"4d559868-6d24-4197-8975-c9977c71f985","erika.musterfrau@test.de","2025-09-02","W","f9e8d7c6-b5a4-4b4b-99c9-0987654321ba","SCON","KA","FL","09:00:00","19:00:00",60,10.00,9.00,0.00,0.00,9.00,"WEB","Dienstag: Voller Tag SAP-Customizing. (Soll 9,00h; Gesamt 9,00h Netto; 0,00h)"
"47594953-e3a1-424a-8742-5f60e9092490","erika.musterfrau@test.de","2025-09-03","B","a1b2c3d4-e5f6-4a4a-b7b7-1234567890ab","DSGN","X","BA","08:30:00","19:30:00",60,11.00,10.00,1.00,0.00,9.00,"MOBILE","Dienstreise: Design-Workshop in München (inkl. 1h Reisezeit). (Soll 9,00h; Gesamt 10,00h Netto; 1,00h Über)"
"40358897-400a-4221-93c4-95499a0a4c9d","erika.musterfrau@test.de","2025-09-04","B","f9e8d7c6-b5a4-4b4b-99c9-0987654321ba","TEST","X","BA","09:00:00","16:00:00",0,7.00,7.00,0.00,2.00,9.00,"X","Dienstreise: Testen der neuen Features vor Ort. Kürzerer Tag (Soll 9,00h; Gesamt 7,00h Netto; 2,00h Unter)"
"4e291244-6720-4318-a6d1-4191c4998792","erika.musterfrau@test.de","2025-09-05","G","","","","","00:00:00","00:00:00",0,0.00,0.00,0.00,0.00,0.00,"WEB","Frei (Gleittag zur Kompensation der Überstunden vom 03.09.)"
"6b744d0d-13a8-4228-8422-790184b248a3","erika.musterfrau@test.de","2025-09-06","O","","","","","00:00:00","00:00:00",0,0.00,0.00,0.00,0.00,0.00,"WEB","Frei (Wochenende)"
"43e74e89-183d-4950-b530-9b34a6212e3e","erika.musterfrau@test.de","2025-09-07","O","","","","","00:00:00","00:00:00",0,0.00,0.00,0.00,0.00,0.00,"WEB","Frei (Wochenende)"
"4684a0d9-b9d1-443b-87b6-191845112e3f","erika.musterfrau@test.de","2025-09-08","W","a1b2c3d4-e5f6-4a4a-b7b7-1234567890ab","URCH","KA","PK","07:00:00","17:30:00",60,10.50,9.50,0.50,0.00,9.00,"MOBILE","Früher Start für User-Interviews (Montag). (Soll 9,00h; Gesamt 9,50h Netto; 0,50h Über)"
"42978d3a-0e6f-409b-a63e-10878e34f2d1","erika.musterfrau@test.de","2025-09-09","W","f9e8d7c6-b5a4-4b4b-99c9-0987654321ba","FDEV","S","FL","09:30:00","18:00:00",30,8.50,8.00,0.00,1.00,9.00,"WEB","Dienstag: Voller Tag SAP-Customizing. (Soll 9,00h; Gesamt 8,00h Netto; 1,00h Unter)"
"4c2357b1-20a2-46e3-a9d0-8f9293425e1a","erika.musterfrau@test.de","2025-09-10","W","a1b2c3d4-e5f6-4a4a-b7b7-1234567890ab","ARCH","X","PK","08:00:00","18:30:00",60,10.50,9.50,0.50,0.00,9.00,"WEB","Mittwoch: Architektur-Design-Session. (Soll 9,00h; Gesamt 9,50h Netto; 0,50h Über)"
